Session,Subject,GovStructure,Game,interactionDraw,interaction,Period,Partnership,Profit,Matchpay,Finished,Choice,Terminator,PartnerChoice.Poc,PTc,gplay,simplay,Age,Gender
1,10,2-player,CG,1,6,4,6,6.5,26,0,C,0,C,NA,1,1,23,Male
1,11,2-player,CG,1,7,27,8,6.5,175.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,6,9,5,6.5,58.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,6,6,5,6.5,39,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,26,8,6.5,169,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,24,8,6.5,156,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,6,7,5,6.5,45.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,5,5,7,6.5,32.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,4,2,8,6.5,13,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,3,2,11,6.5,13,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,4,1,8,6.5,6.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,3,1,11,6.5,6.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,25,8,6.5,162.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,21,8,6.5,136.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,11,8,6.5,71.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,2,5,12,6.5,32.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,4,4,8,6.5,26,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,6,8,5,6.5,52,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,28,8,6.5,182,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,4,3,8,6.5,19.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,3,3,11,6.5,19.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,4,11,8,6.5,71.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,4,8,6.5,26,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,6,11,5,6.5,71.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,22,8,6.5,143,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,12,8,6.5,78,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,6,10,5,6.5,65,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,4,5,8,6.5,32.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,3,5,11,6.5,32.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,1,5,2,6.5,32.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,3,4,11,6.5,26,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,5,6,7,6.5,39,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,5,1,7,6.5,6.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,5,8,6.5,32.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,6,12,5,6.5,78,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,2,3,12,6.5,19.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,4,6,8,6.5,39,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,31,8,6.5,201.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,2,2,12,6.5,13,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,2,6,12,6.5,39,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,2,1,12,6.5,6.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,7,8,6.5,45.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,29,8,6.5,188.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,5,2,7,6.5,13,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,6,8,6.5,39,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,19,8,6.5,123.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,9,8,6.5,58.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,2,8,12,6.5,52,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,23,8,6.5,149.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,13,8,6.5,84.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,2,7,12,6.5,45.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,2,11,12,6.5,71.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,8,8,6.5,52,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,2,10,12,6.5,65,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,16,8,6.5,104,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,6,1,5,6.5,6.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,20,8,6.5,130,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,10,8,6.5,65,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,1,8,6.5,6.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,2,4,12,6.5,26,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,4,7,8,6.5,45.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,32,8,6.5,208,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,2,12,12,6.5,78,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,1,3,2,6.5,19.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,36,8,6.5,234,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,17,8,6.5,110.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,30,8,6.5,195,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,5,3,7,6.5,19.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,1,1,2,6.5,6.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,2,8,6.5,13,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,2,14,12,6.5,91,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,2,9,12,6.5,58.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,2,13,12,6.5,84.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,14,8,6.5,91,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,6,4,5,6.5,26,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,37,8,6.5,240.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,18,8,6.5,117,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,6,3,5,6.5,19.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,5,4,7,6.5,26,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,6,2,5,6.5,13,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,3,8,6.5,19.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,35,8,6.5,227.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,4,9,8,6.5,58.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,34,8,6.5,221,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,4,8,8,6.5,52,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,33,8,6.5,214.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,6,5,5,6.5,32.5,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,1,4,2,6.5,26,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,1,2,2,6.5,13,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,4,10,8,6.5,65,0,C,0,C,NA,1,1,35,Female
1,11,2-player,CG,1,7,15,8,6.5,97.5,0,C,0,C,NA,1,1,35,Female
1,12,2-player,CG,1,6,8,6,6.5,52,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,26,10,6.5,156,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,6,7,6,6.5,45.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,6,6,6,6.5,39,0,C,0,C,NA,1,1,24,Female
